isolate_number,isolate_id,species,run,rep,dose,a,b,fungicide
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,1,0.1,32.44,32.45,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,2,0.1,35.22,33.42,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,3,0.1,35.43,34.41,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,1,0.5,26.09,27.15,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,2,0.5,26.17,26.11,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,3,0.5,25.59,26.11,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,1,1,23.56,23.44,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,2,1,21.32,21.32,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,3,1,21.95,22.12,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,1,10,5.41,5,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,2,10,6.08,5.58,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,3,10,6.68,6.16,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,1,0,34.09,33.73,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,2,0,34.71,35.03,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,3,0,35.46,35.2,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,1,0.01,33.71,33.53,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,2,0.01,33.41,32.15,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,3,0.01,32.47,33.15,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,1,0.1,28.51,29.23,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,2,0.1,28.74,29.88,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,3,0.1,28.39,28.35,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,1,0.5,26.82,26.8,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,2,0.5,27.32,28.65,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,3,0.5,27.38,27.26,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,1,1,24.8,25.68,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,2,1,27.32,26.88,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,3,1,26.52,25.48,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,1,10,21.52,21.6,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,2,10,22.34,22.35,Azoxystrobin
25,16PR014C.1,Pythium vexans,1,3,10,21.61,20.78,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,1,0,47.16,47.19,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,2,0,49.54,46.36,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,3,0,46.38,45.81,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,1,0.01,45.34,45.35,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,2,0.01,45.34,45.51,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,3,0.01,44.89,45.61,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,1,0.1,39.5,41.15,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,2,0.1,39.56,40.2,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,3,0.1,39.66,40.9,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,1,0.5,36.86,39.5,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,2,0.5,36.44,37.27,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,3,0.5,35.74,39.19,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,1,1,35.17,37.23,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,2,1,38.48,36.12,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,3,1,36.84,36.45,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,1,10,30.94,32,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,2,10,32.56,30.22,Azoxystrobin
25,16PR014C.1,Pythium vexans,2,3,10,30.7,30.69,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,1,0,38.99,38.78,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,2,0,38.52,39.94,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,3,0,38.84,37.23,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,1,0.01,38.17,38.96,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,2,0.01,38.11,38.58,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,3,0.01,35.95,37.61,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,1,0.1,33.73,34.96,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,2,0.1,34.64,34.44,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,3,0.1,32.82,33.78,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,1,0.5,32.91,33.64,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,2,0.5,32.98,32.99,Azoxystrobin
26,16PR015B.1,Pythium vexans,1,3,0.5,32.99,32,Azoxystrobin
